"","dateheure","temperature","date","heure","annee","mois","jour"
"562",2019-03-01 00:00:00,11.6,2019-03-01,0,2019,3,1
"563",2019-03-01 03:00:00,11.1,2019-03-01,3,2019,3,1
"564",2019-03-01 06:00:00,10.6,2019-03-01,6,2019,3,1
"565",2019-03-01 09:00:00,11.5,2019-03-01,9,2019,3,1
"566",2019-03-01 12:00:00,14,2019-03-01,12,2019,3,1
"567",2019-03-01 15:00:00,13.8,2019-03-01,15,2019,3,1
"568",2019-03-01 18:00:00,11.4,2019-03-01,18,2019,3,1
"569",2019-03-01 21:00:00,8.7,2019-03-01,21,2019,3,1
"572",2019-03-02 00:00:00,8.1,2019-03-02,0,2019,3,2
"573",2019-03-02 03:00:00,9.8,2019-03-02,3,2019,3,2
"574",2019-03-02 06:00:00,11.5,2019-03-02,6,2019,3,2
"575",2019-03-02 09:00:00,12.8,2019-03-02,9,2019,3,2
"576",2019-03-02 12:00:00,14.3,2019-03-02,12,2019,3,2
"577",2019-03-02 15:00:00,14.8,2019-03-02,15,2019,3,2
"578",2019-03-02 18:00:00,11.7,2019-03-02,18,2019,3,2
"579",2019-03-02 21:00:00,9.2,2019-03-02,21,2019,3,2
"581",2019-03-03 00:00:00,8.9,2019-03-03,0,2019,3,3
"582",2019-03-03 03:00:00,7.7,2019-03-03,3,2019,3,3
"583",2019-03-03 06:00:00,6.9,2019-03-03,6,2019,3,3
"584",2019-03-03 09:00:00,9,2019-03-03,9,2019,3,3
"585",2019-03-03 12:00:00,18.1,2019-03-03,12,2019,3,3
"586",2019-03-03 15:00:00,21.4,2019-03-03,15,2019,3,3
"587",2019-03-03 18:00:00,17.4,2019-03-03,18,2019,3,3
"588",2019-03-03 21:00:00,17.3,2019-03-03,21,2019,3,3
"591",2019-03-04 00:00:00,14.7,2019-03-04,0,2019,3,4
"592",2019-03-04 03:00:00,10.3,2019-03-04,3,2019,3,4
"593",2019-03-04 06:00:00,11.2,2019-03-04,6,2019,3,4
"594",2019-03-04 09:00:00,11.9,2019-03-04,9,2019,3,4
"595",2019-03-04 12:00:00,14,2019-03-04,12,2019,3,4
"596",2019-03-04 15:00:00,12.6,2019-03-04,15,2019,3,4
"597",2019-03-04 18:00:00,9.4,2019-03-04,18,2019,3,4
"598",2019-03-04 21:00:00,9.4,2019-03-04,21,2019,3,4
"600",2019-03-05 00:00:00,8.4,2019-03-05,0,2019,3,5
"601",2019-03-05 03:00:00,8.8,2019-03-05,3,2019,3,5
"602",2019-03-05 06:00:00,7.1,2019-03-05,6,2019,3,5
"603",2019-03-05 09:00:00,11.5,2019-03-05,9,2019,3,5
"604",2019-03-05 12:00:00,15.7,2019-03-05,12,2019,3,5
"605",2019-03-05 15:00:00,17.4,2019-03-05,15,2019,3,5
"606",2019-03-05 18:00:00,15.1,2019-03-05,18,2019,3,5
"607",2019-03-05 21:00:00,13.2,2019-03-05,21,2019,3,5
"610",2019-03-06 00:00:00,12.8,2019-03-06,0,2019,3,6
"611",2019-03-06 03:00:00,12.3,2019-03-06,3,2019,3,6
"612",2019-03-06 06:00:00,12.9,2019-03-06,6,2019,3,6
"613",2019-03-06 09:00:00,11.5,2019-03-06,9,2019,3,6
"614",2019-03-06 12:00:00,15.5,2019-03-06,12,2019,3,6
"615",2019-03-06 15:00:00,14.4,2019-03-06,15,2019,3,6
"616",2019-03-06 18:00:00,11.6,2019-03-06,18,2019,3,6
"617",2019-03-06 21:00:00,9.8,2019-03-06,21,2019,3,6
"619",2019-03-07 00:00:00,10.6,2019-03-07,0,2019,3,7
"620",2019-03-07 03:00:00,8.4,2019-03-07,3,2019,3,7
"621",2019-03-07 06:00:00,7.8,2019-03-07,6,2019,3,7
"622",2019-03-07 09:00:00,9.5,2019-03-07,9,2019,3,7
"623",2019-03-07 12:00:00,13.7,2019-03-07,12,2019,3,7
"624",2019-03-07 15:00:00,13.2,2019-03-07,15,2019,3,7
"625",2019-03-07 18:00:00,11.5,2019-03-07,18,2019,3,7
"626",2019-03-07 21:00:00,9.2,2019-03-07,21,2019,3,7
"629",2019-03-08 00:00:00,9,2019-03-08,0,2019,3,8
"630",2019-03-08 03:00:00,8.3,2019-03-08,3,2019,3,8
"631",2019-03-08 06:00:00,7.9,2019-03-08,6,2019,3,8
"632",2019-03-08 09:00:00,9.5,2019-03-08,9,2019,3,8
"633",2019-03-08 12:00:00,12.5,2019-03-08,12,2019,3,8
"634",2019-03-08 15:00:00,13,2019-03-08,15,2019,3,8
"635",2019-03-08 18:00:00,11.1,2019-03-08,18,2019,3,8
"636",2019-03-08 21:00:00,9.2,2019-03-08,21,2019,3,8
"638",2019-03-09 00:00:00,9.1,2019-03-09,0,2019,3,9
"639",2019-03-09 03:00:00,10.4,2019-03-09,3,2019,3,9
"640",2019-03-09 06:00:00,10.7,2019-03-09,6,2019,3,9
"641",2019-03-09 09:00:00,12.7,2019-03-09,9,2019,3,9
"642",2019-03-09 12:00:00,14.1,2019-03-09,12,2019,3,9
"643",2019-03-09 15:00:00,13.7,2019-03-09,15,2019,3,9
"644",2019-03-09 18:00:00,12.9,2019-03-09,18,2019,3,9
"645",2019-03-09 21:00:00,12.6,2019-03-09,21,2019,3,9
"648",2019-03-10 00:00:00,12.7,2019-03-10,0,2019,3,10
"649",2019-03-10 03:00:00,12.3,2019-03-10,3,2019,3,10
"650",2019-03-10 06:00:00,12.4,2019-03-10,6,2019,3,10
"651",2019-03-10 09:00:00,12.6,2019-03-10,9,2019,3,10
"652",2019-03-10 12:00:00,13.9,2019-03-10,12,2019,3,10
"653",2019-03-10 15:00:00,14.1,2019-03-10,15,2019,3,10
"654",2019-03-10 18:00:00,11.1,2019-03-10,18,2019,3,10
"655",2019-03-10 21:00:00,10,2019-03-10,21,2019,3,10
"657",2019-03-11 00:00:00,7.4,2019-03-11,0,2019,3,11
"658",2019-03-11 03:00:00,7.9,2019-03-11,3,2019,3,11
"659",2019-03-11 06:00:00,5,2019-03-11,6,2019,3,11
"660",2019-03-11 09:00:00,11.4,2019-03-11,9,2019,3,11
"661",2019-03-11 12:00:00,13.8,2019-03-11,12,2019,3,11
"662",2019-03-11 15:00:00,13.7,2019-03-11,15,2019,3,11
"663",2019-03-11 18:00:00,10.7,2019-03-11,18,2019,3,11
"664",2019-03-11 21:00:00,5.2,2019-03-11,21,2019,3,11
"667",2019-03-12 00:00:00,3.5,2019-03-12,0,2019,3,12
"668",2019-03-12 03:00:00,4.6,2019-03-12,3,2019,3,12
"669",2019-03-12 06:00:00,4.1,2019-03-12,6,2019,3,12
"670",2019-03-12 09:00:00,8.8,2019-03-12,9,2019,3,12
"671",2019-03-12 12:00:00,16.5,2019-03-12,12,2019,3,12
"672",2019-03-12 15:00:00,15.2,2019-03-12,15,2019,3,12
"673",2019-03-12 18:00:00,13.5,2019-03-12,18,2019,3,12
"674",2019-03-12 21:00:00,9.1,2019-03-12,21,2019,3,12
"676",2019-03-13 00:00:00,7,2019-03-13,0,2019,3,13
"677",2019-03-13 03:00:00,6.8,2019-03-13,3,2019,3,13
"678",2019-03-13 06:00:00,6.5,2019-03-13,6,2019,3,13
"679",2019-03-13 09:00:00,10.2,2019-03-13,9,2019,3,13
"680",2019-03-13 12:00:00,12.7,2019-03-13,12,2019,3,13
"681",2019-03-13 15:00:00,11.5,2019-03-13,15,2019,3,13
